ppt_id,start_date,mobile_count,mobile_type,shared
567,2023-01-28,1,iPad,No
568,2023-02-07,1,Android,Yes
577,2023-03-23,1,iPad,No
578,2023-03-25,0,None,None
579,2023-03-22,1,iPad,No
580,2023-04-05,1,Android,No
581,2023-04-12,1,iPhone,No
582,2023-04-29,1,Android,Yes
590,2023-06-24,1,Android,Yes
591,2023-06-30,1,iPhone,No
592,2023-07-06,1,iPhone,No
5951,2023-07-19,1,Android,No
596,2023-07-22,1,Android,No
597,2023-08-08,0,None,None
598,2023-08-10,1,iPad,No
600,2023-08-19,1,iPhone,No
601,2023-09-01,1,iPad,No
604,2023-09-08,0,None,None
605,2023-09-19,1,Android,No
608,2023-09-20,2,iPad;iPhone,No
